country,year,population,continent,life_exp,gdp_cap,Kilotons of Co2,Metric Tons Per Capita
Saudi Arabia,1992,16945857,Asia,68.768,24841.61777,202040.0,11.69
Saudi Arabia,1997,21229759,Asia,70.533,20586.69019,220070.0,11.04
Saudi Arabia,2002,24501530,Asia,71.626,19014.54118,272250.0,12.03
Saudi Arabia,2007,27601038,Asia,72.777,21654.83194,354620.0,13.43
Senegal,1992,8307920,Africa,58.196,1367.899369,2570.0,0.32
Senegal,1997,9535314,Africa,60.187,1392.368347,3210.0,0.35
Senegal,2002,10870037,Africa,61.6,1519.635262,4580.0,0.45
Senegal,2007,12267493,Africa,63.062,1712.472136,6200.0,0.54
Serbia,1992,9826397,Europe,71.659,9325.068238,47990.0,6.28
Serbia,1997,10336594,Europe,72.232,7914.320304,56310.0,7.41
Serbia,2002,10111559,Europe,73.213,7236.075251,48580.0,6.48
Serbia,2007,10150265,Europe,74.002,9786.534714,51460.0,6.97
Sierra Leone,1992,4260884,Africa,38.333,1068.696278,320.0,0.07
Sierra Leone,1997,4578212,Africa,39.897,574.6481576,230.0,0.05
Sierra Leone,2002,5359092,Africa,41.012,699.489713,500.0,0.1
Sierra Leone,2007,6144562,Africa,42.568,862.5407561,500.0,0.08
Singapore,1992,3235865,Asia,75.788,24769.8912,31410.0,9.72
Singapore,1997,3802309,Asia,77.158,33519.4766,38160.0,10.05
Singapore,2002,4197776,Asia,78.77,36023.1054,41290.0,9.89
Singapore,2007,4553009,Asia,79.972,47143.17964,38290.0,8.34
Slovak Republic,1992,5302888,Europe,71.38,9498.467723,46100.0,8.69
Slovak Republic,1997,5383010,Europe,72.71,12126.23065,42270.0,7.85
Slovak Republic,2002,5410052,Europe,73.8,13638.77837,38070.0,7.08
Slovak Republic,2007,5447502,Europe,74.663,18678.31435,37190.0,6.92
Slovenia,1992,1999210,Europe,73.64,14214.71681,12830.0,6.43
Slovenia,1997,2011612,Europe,75.13,17161.10735,15730.0,7.92
Slovenia,2002,2011497,Europe,76.66,20660.01936,15520.0,7.78
Slovenia,2007,2009245,Europe,77.926,25768.25759,16280.0,8.07
Somalia,1992,6099799,Africa,39.658,926.9602964,680.0,0.11
Somalia,1997,6633514,Africa,43.795,930.5964284,550.0,0.07
Somalia,2002,7753310,Africa,45.936,882.0818218,570.0,0.06
Somalia,2007,9118773,Africa,48.159,926.1410683,620.0,0.06
South Africa,1992,39964159,Africa,61.888,7225.069258,238820.0,5.72
South Africa,1997,42835005,Africa,60.236,7479.188244,289030.0,6.38
South Africa,2002,44433622,Africa,53.365,7710.946444,331320.01,6.95
South Africa,2007,43997828,Africa,49.339,9269.657808,397060.0,7.94
Spain,1992,39549438,Europe,77.57,18603.06452,232370.0,5.93
Spain,1997,39855442,Europe,78.77,20445.29896,248600.0,6.21
Spain,2002,40152517,Europe,79.78,24835.47166,312750.0,7.55
Spain,2007,40448191,Europe,80.941,28821.0637,354679.99,7.84
Sri Lanka,1992,17587060,Asia,70.379,2153.739222,5250.0,0.3
Sri Lanka,1997,18698655,Asia,70.457,2664.477257,8340.0,0.45
Sri Lanka,2002,19576783,Asia,70.815,3015.378833,11390.0,0.6
Sri Lanka,2007,20378239,Asia,72.396,3970.095407,13590.0,0.68
Sudan,1992,28227588,Africa,53.556,1492.197043,4530.0,0.21
Sudan,1997,32160729,Africa,55.373,1632.210764,5240.0,0.21
Sudan,2002,37090298,Africa,56.369,1993.398314,7710.0,0.28
Sudan,2007,42292929,Africa,58.556,2602.394995,13960.0,0.45
Sweden,1992,8718867,Europe,78.16,23880.01683,56750.0,6.55
Sweden,1997,8897619,Europe,79.39,25266.59499,57380.0,6.49
Sweden,2002,8954175,Europe,80.04,29341.63093,54020.0,6.05
Sweden,2007,9031088,Europe,80.884,33859.74835,47140.0,5.15
Switzerland,1992,6995447,Europe,78.03,31871.5303,45700.0,6.65
Switzerland,1997,7193761,Europe,79.37,32135.32301,42750.0,6.03
Switzerland,2002,7361757,Europe,80.62,34480.95771,43570.0,5.98
Switzerland,2007,7554661,Europe,81.701,37506.41907,43540.0,5.77
Tanzania,1992,26605473,Africa,50.44,825.682454,1860.0,0.07
Tanzania,1997,30686889,Africa,48.466,789.1862231,2890.0,0.09
Tanzania,2002,34593779,Africa,49.651,899.0742111,3570.0,0.1
Tanzania,2007,38139640,Africa,52.517,1107.482182,5910.0,0.14
Thailand,1992,56667095,Asia,67.298,4616.896545,107950.0,1.9
Thailand,1997,60216677,Asia,67.521,5852.625497,177940.0,2.92
Thailand,2002,62806748,Asia,68.564,5913.187529,184240.01,2.87
Thailand,2007,65068149,Asia,70.616,7458.396327,224590.0,3.36
Togo,1992,3747553,Africa,58.061,1034.298904,750.0,0.18
Togo,1997,4320890,Africa,58.39,982.2869243,760.0,0.17
Togo,2002,4977378,Africa,57.561,886.2205765,1340.0,0.25
Togo,2007,5701579,Africa,58.42,882.9699438,1500.0,0.25
Tunisia,1992,8523077,Africa,70.001,4332.720164,16110.0,1.83
Tunisia,1997,9231669,Africa,71.973,4876.798614,17880.0,1.87
Tunisia,2002,9770575,Africa,73.042,5722.895655,21710.0,2.15
Tunisia,2007,10276158,Africa,73.923,7092.923025,24750.0,2.34
Turkey,1992,58179144,Europe,66.146,5678.348271,149800.0,2.66
Turkey,1997,63047647,Europe,68.835,6601.429915,193430.0,3.16
Turkey,2002,67308928,Europe,70.845,6508.085718,208110.0,3.15
Turkey,2007,71158647,Europe,71.777,8458.276384,288970.0,4.1
Uganda,1992,18252190,Africa,48.825,644.1707969,820.0,0.04
Uganda,1997,21210254,Africa,44.578,816.559081,1110.0,0.05
Uganda,2002,24739869,Africa,47.813,927.7210018,1490.0,0.06
Uganda,2007,29170398,Africa,51.542,1056.380121,2870.0,0.1
United Kingdom,1992,57866349,Europe,76.42,22705.09254,557890.0,9.69
United Kingdom,1997,58808266,Europe,77.218,26074.53136,524190.0,8.99
United Kingdom,2002,59912431,Europe,78.471,29478.99919,530789.98,8.94
United Kingdom,2007,60776238,Europe,79.425,33203.26128,530500.0,8.65
United States,1992,256894189,Americas,76.09,32003.93224,4879630.0,19.02
United States,1997,272911760,Americas,76.81,35767.43303,5543350.0,20.33
United States,2002,287675526,Americas,77.31,39097.09955,5593029.79,19.45
United States,2007,301139947,Americas,78.242,42951.65309,5736319.82,19.04
Uruguay,1992,3149262,Americas,72.752,8137.004775,4770.0,1.51
Uruguay,1997,3262838,Americas,74.223,9230.240708,5560.0,1.71
Uruguay,2002,3363085,Americas,75.307,7727.002004,4530.0,1.37
Uruguay,2007,3447496,Americas,76.384,10611.46299,5850.0,1.76
Venezuela,1992,20265563,Americas,71.15,10733.92631,103110.0,4.98
Venezuela,1997,22374398,Americas,72.146,10165.49518,127590.0,5.54
Venezuela,2002,24287670,Americas,72.766,8605.047831,140750.0,5.56
Venezuela,2007,26084662,Americas,73.747,11415.80569,142390.0,5.17
Vietnam,1992,69940728,Asia,67.662,989.0231487,20810.0,0.3
Vietnam,1997,76048996,Asia,70.672,1385.896769,40840.0,0.54
Vietnam,2002,80908147,Asia,73.017,1764.456677,66500.0,0.82
Vietnam,2007,85262356,Asia,74.249,2441.576404,105140.0,1.24
Zambia,1992,8381163,Africa,46.1,1210.884633,2850.0,0.35
Zambia,1997,9417789,Africa,40.238,1071.353818,2290.0,0.25
Zambia,2002,10595811,Africa,39.193,1071.613938,1920.0,0.18
Zambia,2007,11746035,Africa,42.384,1271.211593,1980.0,0.16
Zimbabwe,1992,10704340,Africa,60.377,693.4207856,18470.0,1.74
Zimbabwe,1997,11404948,Africa,46.809,792.4499603,13830.0,1.22
Zimbabwe,2002,11926563,Africa,39.989,672.0386227,12490.0,1.04
Zimbabwe,2007,12311143,Africa,43.487,469.7092981,9760.0,0.78
